Name,Status,Neutral,Warehouse,Latitude,Code,Longitude,SubLevel,LocationType,Area,Volume,Level,LWH,LocationStatus,Location
node10476,active,1,5,2,Q7-CEN-10477,1,,2,Q7,100,1,10x10x10,0,SC10 G 12
node10477,active,1,5,2,Q7-CEN-10478,1,,2,Q7,100,1,10x10x10,0,SC10 G 14
node10478,active,1,5,2,Q7-CEN-10479,1,,2,Q7,100,1,10x10x10,0,SC10 G 16
node10479,active,1,5,2,Q7-CEN-10480,1,,2,Q7,100,1,10x10x10,0,SC10 G 18
node10480,active,1,5,2,Q7-CEN-10481,1,,2,Q7,100,1,10x10x10,0,SC10 G 20
node10481,active,1,5,2,Q7-CEN-10482,1,,2,Q7,100,1,10x10x10,0,SC10 G 22
node10482,active,1,5,2,Q7-CEN-10483,1,,2,Q7,100,1,10x10x10,0,SC10 H 01
node10483,active,1,5,2,Q7-CEN-10484,1,,2,Q7,100,1,10x10x10,0,SC10 H 03
node10484,active,1,5,2,Q7-CEN-10485,1,,2,Q7,100,1,10x10x10,0,SC10 H 05
node10485,active,1,5,2,Q7-CEN-10486,1,,2,Q7,100,1,10x10x10,0,SC10 H 07
node10486,active,1,5,2,Q7-CEN-10487,1,,2,Q7,100,1,10x10x10,0,SC10 H 09
node10487,active,1,5,2,Q7-CEN-10488,1,,2,Q7,100,1,10x10x10,0,SC10 H 11
node10488,active,1,5,2,Q7-CEN-10489,1,,2,Q7,100,1,10x10x10,0,SC10 H 12
node10489,active,1,5,2,Q7-CEN-10490,1,,2,Q7,100,1,10x10x10,0,SC10 H 14
node10490,active,1,5,2,Q7-CEN-10491,1,,2,Q7,100,1,10x10x10,0,SC10 H 16
node10491,active,1,5,2,Q7-CEN-10492,1,,2,Q7,100,1,10x10x10,0,SC10 H 18
node10492,active,1,5,2,Q7-CEN-10493,1,,2,Q7,100,1,10x10x10,0,SC10 H 20
node10493,active,1,5,2,Q7-CEN-10494,1,,2,Q7,100,1,10x10x10,0,SC10 H 22
node10494,active,1,5,2,Q7-CEN-10495,1,,2,Q7,100,1,10x10x10,0,SC10 J 01
node10495,active,1,5,2,Q7-CEN-10496,1,,2,Q7,100,1,10x10x10,0,SC10 J 03
node10496,active,1,5,2,Q7-CEN-10497,1,,2,Q7,100,1,10x10x10,0,SC10 J 05
node10497,active,1,5,2,Q7-CEN-10498,1,,2,Q7,100,1,10x10x10,0,SC10 J 07
node10498,active,1,5,2,Q7-CEN-10499,1,,2,Q7,100,1,10x10x10,0,SC10 J 09
node10499,active,1,5,2,Q7-CEN-10500,1,,2,Q7,100,1,10x10x10,0,SC10 J 11
node10500,active,1,5,2,Q7-CEN-10501,1,,2,Q7,100,1,10x10x10,0,SC10 J 12
node10501,active,1,5,2,Q7-CEN-10502,1,,2,Q7,100,1,10x10x10,0,SC10 J 14
node10502,active,1,5,2,Q7-CEN-10503,1,,2,Q7,100,1,10x10x10,0,SC10 J 16
node10503,active,1,5,2,Q7-CEN-10504,1,,2,Q7,100,1,10x10x10,0,SC10 J 18
node10504,active,1,5,2,Q7-CEN-10505,1,,2,Q7,100,1,10x10x10,0,SC10 J 20
node10505,active,1,5,2,Q7-CEN-10506,1,,2,Q7,100,1,10x10x10,0,SC10 J 22
node10506,active,1,5,2,Q7-CEN-10507,1,,2,Q7,100,1,10x10x10,0,SC10 K 01
node10507,active,1,5,2,Q7-CEN-10508,1,,2,Q7,100,1,10x10x10,0,SC10 K 03
node10508,active,1,5,2,Q7-CEN-10509,1,,2,Q7,100,1,10x10x10,0,SC10 K 05
node10509,active,1,5,2,Q7-CEN-10510,1,,2,Q7,100,1,10x10x10,0,SC10 K 07
node10510,active,1,5,2,Q7-CEN-10511,1,,2,Q7,100,1,10x10x10,0,SC10 K 09
node10511,active,1,5,2,Q7-CEN-10512,1,,2,Q7,100,1,10x10x10,0,SC10 K 11
node10512,active,1,5,2,Q7-CEN-10513,1,,2,Q7,100,1,10x10x10,0,SC10 K 12
node10513,active,1,5,2,Q7-CEN-10514,1,,2,Q7,100,1,10x10x10,0,SC10 K 14
node10514,active,1,5,2,Q7-CEN-10515,1,,2,Q7,100,1,10x10x10,0,SC10 K 16
node10515,active,1,5,2,Q7-CEN-10516,1,,2,Q7,100,1,10x10x10,0,SC10 K 18
node10516,active,1,5,2,Q7-CEN-10517,1,,2,Q7,100,1,10x10x10,0,SC10 K 20
node10517,active,1,5,2,Q7-CEN-10518,1,,2,Q7,100,1,10x10x10,0,SC10 K 22
node10518,active,1,5,2,Q7-CEN-10519,1,,2,Q7,100,1,10x10x10,0,SC11 A 01
node10519,active,1,5,2,Q7-CEN-10520,1,,2,Q7,100,1,10x10x10,0,SC11 A 03
node10520,active,1,5,2,Q7-CEN-10521,1,,2,Q7,100,1,10x10x10,0,SC11 A 05
node10521,active,1,5,2,Q7-CEN-10522,1,,2,Q7,100,1,10x10x10,0,SC11 A 07
node10522,active,1,5,2,Q7-CEN-10523,1,,2,Q7,100,1,10x10x10,0,SC11 A 09
node10523,active,1,5,2,Q7-CEN-10524,1,,2,Q7,100,1,10x10x10,0,SC11 A 11
node10524,active,1,5,2,Q7-CEN-10525,1,,2,Q7,100,1,10x10x10,0,SC11 A 12
node10525,active,1,5,2,Q7-CEN-10526,1,,2,Q7,100,1,10x10x10,0,SC11 A 14
node10526,active,1,5,2,Q7-CEN-10527,1,,2,Q7,100,1,10x10x10,0,SC11 A 16
node10527,active,1,5,2,Q7-CEN-10528,1,,2,Q7,100,1,10x10x10,0,SC11 A 18
node10528,active,1,5,2,Q7-CEN-10529,1,,2,Q7,100,1,10x10x10,0,SC11 A 20
node10529,active,1,5,2,Q7-CEN-10530,1,,2,Q7,100,1,10x10x10,0,SC11 A 22
node10530,active,1,5,2,Q7-CEN-10531,1,,2,Q7,100,1,10x10x10,0,SC11 B 01
node10531,active,1,5,2,Q7-CEN-10532,1,,2,Q7,100,1,10x10x10,0,SC11 B 03
node10532,active,1,5,2,Q7-CEN-10533,1,,2,Q7,100,1,10x10x10,0,SC11 B 05
node10533,active,1,5,2,Q7-CEN-10534,1,,2,Q7,100,1,10x10x10,0,SC11 B 07
node10534,active,1,5,2,Q7-CEN-10535,1,,2,Q7,100,1,10x10x10,0,SC11 B 09
node10535,active,1,5,2,Q7-CEN-10536,1,,2,Q7,100,1,10x10x10,0,SC11 B 11
node10536,active,1,5,2,Q7-CEN-10537,1,,2,Q7,100,1,10x10x10,0,SC11 B 12
node10537,active,1,5,2,Q7-CEN-10538,1,,2,Q7,100,1,10x10x10,0,SC11 B 14
node10538,active,1,5,2,Q7-CEN-10539,1,,2,Q7,100,1,10x10x10,0,SC11 B 16
node10539,active,1,5,2,Q7-CEN-10540,1,,2,Q7,100,1,10x10x10,0,SC11 B 18
node10540,active,1,5,2,Q7-CEN-10541,1,,2,Q7,100,1,10x10x10,0,SC11 B 20
node10541,active,1,5,2,Q7-CEN-10542,1,,2,Q7,100,1,10x10x10,0,SC11 B 22
node10542,active,1,5,2,Q7-CEN-10543,1,,2,Q7,100,1,10x10x10,0,SC11 C 01
node10543,active,1,5,2,Q7-CEN-10544,1,,2,Q7,100,1,10x10x10,0,SC11 C 03
node10544,active,1,5,2,Q7-CEN-10545,1,,2,Q7,100,1,10x10x10,0,SC11 C 05
node10545,active,1,5,2,Q7-CEN-10546,1,,2,Q7,100,1,10x10x10,0,SC11 C 07
node10546,active,1,5,2,Q7-CEN-10547,1,,2,Q7,100,1,10x10x10,0,SC11 C 09
node10547,active,1,5,2,Q7-CEN-10548,1,,2,Q7,100,1,10x10x10,0,SC11 C 11
node10548,active,1,5,2,Q7-CEN-10549,1,,2,Q7,100,1,10x10x10,0,SC11 C 12
node10549,active,1,5,2,Q7-CEN-10550,1,,2,Q7,100,1,10x10x10,0,SC11 C 14
node10550,active,1,5,2,Q7-CEN-10551,1,,2,Q7,100,1,10x10x10,0,SC11 C 16
node10551,active,1,5,2,Q7-CEN-10552,1,,2,Q7,100,1,10x10x10,0,SC11 C 18
node10552,active,1,5,2,Q7-CEN-10553,1,,2,Q7,100,1,10x10x10,0,SC11 C 20
node10553,active,1,5,2,Q7-CEN-10554,1,,2,Q7,100,1,10x10x10,0,SC11 C 22
node10554,active,1,5,2,Q7-CEN-10555,1,,2,Q7,100,1,10x10x10,0,SC11 D 01
node10555,active,1,5,2,Q7-CEN-10556,1,,2,Q7,100,1,10x10x10,0,SC11 D 03
node10556,active,1,5,2,Q7-CEN-10557,1,,2,Q7,100,1,10x10x10,0,SC11 D 05
node10557,active,1,5,2,Q7-CEN-10558,1,,2,Q7,100,1,10x10x10,0,SC11 D 07
node10558,active,1,5,2,Q7-CEN-10559,1,,2,Q7,100,1,10x10x10,0,SC11 D 09
node10559,active,1,5,2,Q7-CEN-10560,1,,2,Q7,100,1,10x10x10,0,SC11 D 11
node10560,active,1,5,2,Q7-CEN-10561,1,,2,Q7,100,1,10x10x10,0,SC11 D 12
